,province_confirmedCount,province_cureCount,province_deadCount,province_dailyConfirm
2020/1/31,2,0,0,0
2020/2/1,2,0,0,0
2020/2/8,2,0,0,0
2020/2/10,2.75,0,0,0
2020/2/11,3.1875,0,0,0
2020/2/12,3.359375,0,0,0
2020/2/13,3.35546875,0,0,0
2020/2/14,3.264648438,0,0,0
2020/2/15,3.153076172,0,0,0
2020/2/16,3.059020996,0,0,0
2020/2/22,2.997238159,0,0,17
2020/2/23,15.7170372,0,0,97
2020/2/24,95.89767742,0,0,113
2020/2/25,226.0135782,0,0,53
2020/2/26,331.818134,0,0,91
2020/2/27,440.7658784,0,0,154
2020/2/28,594.048281,2,0,125
2020/2/29,747.9274121,2.36,0,235
2020/3/1,977.3851246,2.8896,0,240
2020/3/2,1249.7677,2.993856,0,566
2020/3/3,1780.017062,2.17788416,0,342
2020/3/4,2280.137478,26.36560886,0,466
2020/3/5,2818.663316,47.35049755,0,587
2020/3/6,3449.010406,60.01731135,0,838
2020/3/7,4302.68135,66.81324491,233,709
2020/3/8,5167.346484,87.97562627,245.96,1247
2020/3/9,6402.09243,141.7189048,265.0256,1492
2020/3/10,8008.692296,182.7523347,353.898816,1797
2020/3/11,10001.31915,276.1518324,472.2070298,1111
2020/3/12,11623.5528,420.4750912,648.5022709,2179
2020/3/13,13733.78142,575.2750246,875.5188705,2651
2020/3/14,16459.20037,697.8489787,1121.044301,2547
2020/3/15,19395.60976,766.3895963,1403.148928,3610
2020/3/16,23137.41201,838.1404638,1651.495961,3668
2020/3/17,27292.46013,1032.997273,1985.50515,4084
2020/3/18,31844.36916,1169.192013,2366.909428,2484
2020/3/19,35277.73139,1357.422774,2766.413731,5672
2020/3/20,40305.47965,1562.339765,3246.897018,3857
2020/3/21,44930.23387,1992.968416,3743.931706,5986
2020/3/22,50758.30251,2481.033186,4362.088909,8197
2020/3/23,58885.76121,3003.784084,5161.281893,4296
2020/3/24,65254.55025,3379.166443,5976.730029,4864
2020/3/25,70651.80721,4192.995911,6730.463703,6167
2020/3/26,76407.23389,4906.574574,7501.392619,3841
2020/3/27,80700.13875,5663.703874,8237.53574,6743
2020/3/28,86325.3065,6593.172524,8958.613035,6146
2020/3/29,92448.31375,7635.052308,9880.312284,5776
2020/3/30,98548.48893,8374.647625,10773.57688,4638
2020/3/31,103702.7043,9164.329385,11613.23719,4417
2020/4/1,108089.1359,10099.97939,12436.49645,3686
2020/4/2,111551.0677,11123.61434,13263.21286,4782
2020/4/3,115428.7667,11931.72787,14024.07162,5321
2020/4/4,120144.6745,13098.7413,14758.40968,4386
2020/4/5,124729.7098,14040.85144,15486.8342,4735
2020/4/6,129461.3,15381.11318,16166.3287,4465
2020/4/7,134064.5201,16712.36306,16716.98651,3329
2020/4/8,137717.0001,17990.62586,17255.22444,3083
2020/4/9,140628.7401,19398.95333,17788.99333,3994
2020/4/10,143896.1751,20922.12101,18297.25626,3739
2020/4/11,147331.8488,22348.95258,18841.83252,4591
2020/4/12,151566.4734,31763.52627,19398.29847,9386.852544
2020/4/13,155358.5225,33684.1334,19951.89743,9489.72513
2020/4/14,159150.5716,35604.74052,20505.49639,
2020/4/15,162942.6206,37525.34765,21059.09534,
2020/4/16,166734.6697,39445.95477,21612.6943,
2020/4/17,170526.7187,41366.5619,22166.29326,
2020/4/18,174318.7678,43287.16903,22719.89222,
2020/4/19,178110.8168,45207.77615,23273.49118,
2020/4/20,181902.8659,47128.38328,23827.09013,
2020/4/21,185694.9149,49048.99041,24380.68909,
